Player,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,Height_cm
Erick Barkley,6-1,177.0,St. John's (NY),USA,2000,1,28,185.42000000000002
Mark Madsen,6-9,236.0,Stanford,USA,2000,1,29,205.74
Darius Miles,6-9,210.0,None,USA,2000,1,3,205.74
Marko Jaric,6-7,224,None,Serbia,2000,2,30,200.66
Dan Langhi,6-11,220.0,Vanderbilt,USA,2000,2,31,210.82
A.J. Guyton,6-1,180.0,Indiana,USA,2000,2,32,185.42000000000002
Jake Voskuhl,6-11,245.0,Connecticut,USA,2000,2,33,210.82
Mike Smith,6-8,195.0,Louisiana-Monroe,USA,2000,2,35,203.2
Soumaila Samake,6-10,240.0,None,Mali,2000,2,36,208.28
Eddie House,6-1,180.0,Arizona State,USA,2000,2,37,185.42000000000002
Eduardo Najera,6-8,235,Oklahoma,Mexico,2000,2,38,203.2
Lavor Postell,6-5,215.0,St. John's (NY),USA,2000,2,39,195.58
Marcus Fizer,6-9,262.0,Iowa State,USA,2000,1,4,205.74
Hanno Mottola,6-11,247.0,Utah,Finland,2000,2,40,210.82
Olumide Oyedeji,6-10,255.0,None,Nigeria,2000,2,42,208.28
Michael Redd,6-6,215,Ohio State,USA,2000,2,43,198.12
Brian Cardinal,6-8,240,Purdue,USA,2000,2,44,203.2
Jabari Smith,6-11,250.0,Louisiana State,USA,2000,2,45,210.82
Jason Hart,6-2,181.0,Syracuse,USA,2000,2,49,187.96
Mike Miller,6-8,210,Florida,USA,2000,1,5,203.2
Kaniel Dickens,6-8,215,Idaho,USA,2000,2,50,203.2
Igor Rakocevic,6-2,184.0,None,Serbia and Mo...,2000,2,51,187.96
Ernest Brown,7-0,244.0,Indian Hills Community College,USA,2000,2,52,213.36
Dan McClintock,7-0,270.0,Northern Arizona,USA,2000,2,53,213.36
Chris Porter,6-7,218.0,Auburn,,2000,2,55,200.66
DerMarr Johnson,6-9,201.0,Cincinnati,USA,2000,1,6,205.74
Chris Mihm,7-0,265.0,Texas,USA,2000,1,7,213.36
Jamal Crawford,6-5,200,Michigan,USA,2000,1,8,195.58
Joel Przybilla,7-1,245,Minnesota,USA,2000,1,9,215.9
Kwame Brown,6-11,270,None,USA,2001,1,1,210.82
Joe Johnson,6-7,240,Arkansas,USA,2001,1,10,200.66
Kedrick Brown,6-7,222.0,Northwest Florida State,USA,2001,1,11,200.66
Vladimir Radmanovic,6-10,235,None,Serbia,2001,1,12,208.28
Richard Jefferson,6-7,230,Arizona,USA,2001,1,13,200.66
Troy Murphy,6-11,245,Notre Dame,USA,2001,1,14,210.82
Steven Hunter,6-10,224.0,DePaul,USA,2001,1,15,208.28
Kirk Haston,6-9,242.0,Indiana,USA,2001,1,16,205.74
Michael Bradley,6-9,227.0,Villanova,USA,2001,1,17,205.74
