Player,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,Height_cm
Chris Johnson,6-11,210,Louisiana State,USA,Undrafted,Undrafted,Undrafted,210.82
Chris Wright,6-8,226,Dayton,USA,Undrafted,Undrafted,Undrafted,203.2
Chuck Hayes,6-6,250,Kentucky,USA,Undrafted,Undrafted,Undrafted,198.12
Cory Higgins,6-5,180,Colorado,USA,Undrafted,Undrafted,Undrafted,195.58
Courtney Fortson,5-11,185,Arkansas,USA,Undrafted,Undrafted,Undrafted,180.34
D.J. Kennedy,6-5,214,St. John's (NY),USA,Undrafted,Undrafted,Undrafted,195.58
Damien Wilkins,6-6,225,Georgia,USA,Undrafted,Undrafted,Undrafted,198.12
Darryl Watkins,6-11,258,Syracuse,USA,Undrafted,Undrafted,Undrafted,210.82
Dennis Horner,6-9,230,North Carolina State,USA,Undrafted,Undrafted,Undrafted,205.74
Donald Sloan,6-3,205,Texas A&M,USA,Undrafted,Undrafted,Undrafted,190.5
Earl Barron,7-0,250,Memphis,,Undrafted,Undrafted,Undrafted,213.36
Earl Boykins,5-5,133,Eastern Michigan,USA,Undrafted,Undrafted,Undrafted,165.1
Edwin Ubiles,6-6,204,Siena,Puerto Rico,Undrafted,Undrafted,Undrafted,198.12
Eric Dawson,6-9,250,"Midwestern, Tex.",USA,Undrafted,Undrafted,Undrafted,205.74
Gary Forbes,6-7,220,Massachusetts,Panama,Undrafted,Undrafted,Undrafted,200.66
Gary Neal,6-4,210,Towson,USA,Undrafted,Undrafted,Undrafted,193.04
Greg Smith,6-10,250,Fresno State,USA,Undrafted,Undrafted,Undrafted,208.28
Greg Stiemsma,6-11,260,Wisconsin,USA,Undrafted,Undrafted,Undrafted,210.82
Gustavo Ayon,6-10,250,None,Mexico,Undrafted,Undrafted,Undrafted,208.28
Hamed Haddadi,7-2,265,None,Iran,Undrafted,Undrafted,Undrafted,218.44
Ish Smith,6-0,175,Wake Forest,USA,Undrafted,Undrafted,Undrafted,182.88
Ivan Johnson,6-8,255,Cal State-San Bernardino,USA,Undrafted,Undrafted,Undrafted,203.2
J.J. Barea,6-0,175,Northeastern,Puerto Rico,Undrafted,Undrafted,Undrafted,182.88
Jamario Moon,6-8,205,Meridian Community College,USA,Undrafted,Undrafted,Undrafted,203.2
James Singleton,6-8,230,Murray State,,Undrafted,Undrafted,Undrafted,203.2
Jannero Pargo,6-1,185,Arkansas,USA,Undrafted,Undrafted,Undrafted,185.42000000000002
Jeff Adrien,6-7,243,Connecticut,USA,Undrafted,Undrafted,Undrafted,200.66
Jeff Foote,7-0,265,Cornell,USA,Undrafted,Undrafted,Undrafted,213.36
Jeremy Lin,6-3,200,Harvard,USA,Undrafted,Undrafted,Undrafted,190.5
Jeremy Pargo,6-2,219,Gonzaga,USA,Undrafted,Undrafted,Undrafted,187.96
Jerome Dyson,6-3,180,Connecticut,USA,Undrafted,Undrafted,Undrafted,190.5
Joel Anthony,6-9,245,Nevada-Las Vegas,Canada,Undrafted,Undrafted,Undrafted,205.74
John Lucas III,5-11,165,Oklahoma State,USA,Undrafted,Undrafted,Undrafted,180.34
Jose Calderon,6-3,211,None,Spain,Undrafted,Undrafted,Undrafted,190.5
Josh Davis,6-8,235,Wyoming,USA,Undrafted,Undrafted,Undrafted,203.2
Julyan Stone,6-6,200,Texas-El Paso,USA,Undrafted,Undrafted,Undrafted,198.12
Justin Dentmon,5-11,185,Washington,USA,Undrafted,Undrafted,Undrafted,180.34
Kelenna Azubuike,6-5,215,Kentucky,England,Undrafted,Undrafted,Undrafted,195.58
Lance Thomas,6-8,225,Duke,USA,Undrafted,Undrafted,Undrafted,203.2
Larry Owens,6-7,210,Oral Roberts,,Undrafted,Undrafted,Undrafted,200.66
Lou Amundson,6-9,225,Nevada-Las Vegas,USA,Undrafted,Undrafted,Undrafted,205.74
Malcolm Thomas,6-9,225,San Diego State,,Undrafted,Undrafted,Undrafted,205.74
Manny Harris,6-5,185,Michigan,USA,Undrafted,Undrafted,Undrafted,195.58
Marquis Daniels,6-6,200,Auburn,USA,Undrafted,Undrafted,Undrafted,198.12
Matt Carroll,6-6,212,Notre Dame,USA,Undrafted,Undrafted,Undrafted,198.12
Maurice Evans,6-5,220,Texas,USA,Undrafted,Undrafted,Undrafted,195.58
Mickell Gladness,6-11,220,Alabama A&M,USA,Undrafted,Undrafted,Undrafted,210.82
Mike James,6-2,188,Duquesne,,Undrafted,Undrafted,Undrafted,187.96
Mikki Moore,7-0,225,Nebraska,USA,Undrafted,Undrafted,Undrafted,213.36
Mychel Thompson,6-6,211,Pepperdine,USA,Undrafted,Undrafted,Undrafted,198.12
Raja Bell,6-5,210,Florida International,U.S. Virgin I...,Undrafted,Undrafted,Undrafted,195.58
Reggie Evans,6-8,245,Iowa,USA,Undrafted,Undrafted,Undrafted,203.2
Reggie Williams,6-6,205,Virginia Military Institute,USA,Undrafted,Undrafted,Undrafted,198.12
Ronnie Price,6-2,190,Utah Valley,,Undrafted,Undrafted,Undrafted,187.96
Samardo Samuels,6-9,260,Louisville,Jamaica,Undrafted,Undrafted,Undrafted,205.74
Sundiata Gaines,6-1,200,Georgia,USA,Undrafted,Undrafted,Undrafted,185.42000000000002
Terrel Harris,6-4,190,Oklahoma State,USA,Undrafted,Undrafted,Undrafted,193.04
Timofey Mozgov,7-1,250,None,Russia,Undrafted,Undrafted,Undrafted,215.9
Trey Johnson,6-5,215,Jackson State,USA,Undrafted,Undrafted,Undrafted,195.58
Udonis Haslem,6-8,235,Florida,USA,Undrafted,Undrafted,Undrafted,203.2
Wesley Matthews,6-5,220,Marquette,USA,Undrafted,Undrafted,Undrafted,195.58
Will Bynum,6-0,185,Georgia Tech,USA,Undrafted,Undrafted,Undrafted,182.88
